id,review_text,risk,complaint_type
R0110,"I usually like this store, but order 82398: Great product and fast delivery for my phone stand. I will keep it. I am mostly leaving feedback for improvement.",low,minor_negative_or_no_complaint
R0111,Order 54911: The package was missing parts for my air fryer. I cannot use it as delivered.,medium,damaged_or_wrong_item
R0112,Order 83538: I was charged twice and support keeps closing the ticket for my gaming headset. this feels fraudulent. This may affect whether I buy again.,high,refund_dispute
R0113,Order 13337: The courier marked it delivered but nothing arrived for my school bag. I may cancel the order.,medium,delivery_delay
R0114,Order 46085: Customer service keeps sending copy paste replies for my wireless mouse. I am frustrated.,medium,service_failure
R0115,Order 42601: Works as expected for my notebook. not a big issue. This is not urgent.,low,minor_negative_or_no_complaint
R0116,Order 85680: The label is different from the listing and may be counterfeit for my laptop adapter. other buyers should be warned.,high,counterfeit_or_safety
R0117,Order 54037: The color is slightly different but the product works for my water bottle. happy with the purchase.,low,minor_negative_or_no_complaint
R0118,"Maybe this is a courier issue, but order 78250: The courier marked it delivered but nothing arrived for my printer ink. I needed it this week. I can wait if someone gives me a clear update.",medium,delivery_delay
R0119,Order 26716: Shipping was a little slow but the item arrived fine for my notebook. happy with the purchase.,low,minor_negative_or_no_complaint
R0120,Order 64108: The color is slightly different but the product works for my yoga mat. I will keep it.,low,minor_negative_or_no_complaint
R0121,Order 45564: The packaging could be better for my yoga mat. happy with the purchase. No need to replace it unless this happens again.,low,minor_negative_or_no_complaint
R0122,I waited before writing this review. order 71050: The package was missing parts for my desk lamp. please send the correct item. Please do not send another generic template.,medium,damaged_or_wrong_item
R0123,This is my second order from you. order 67421: Delivery is five days late with no useful update for my school bag. I may cancel the order. Please do not send another generic template.,medium,delivery_delay
R0124,Order 53937: The refund status has been pending for weeks for my running shoes. I may file a chargeback.,high,refund_dispute
R0125,Order 26369: The refund status has been pending for weeks for my phone charger. I may file a chargeback.,high,refund_dispute
R0126,"I usually like this store, but order 54652: The seller refused my refund after the item failed for my running shoes. I need this escalated today.",high,refund_dispute
R0127,Order 63101: The seller refused my refund after the item failed for my running shoes. I may file a chargeback.,high,refund_dispute
R0128,"Order 59610: I ordered a black medium but received a white small for my winter jacket. I cannot use it as delivered. It is fixable, but I need a concrete answer.",medium,damaged_or_wrong_item
R0129,Order 84624: The box arrived crushed and the item was cracked for my desk lamp. please send the correct item.,medium,damaged_or_wrong_item
R0130,I waited before writing this review. order 93144: I was charged twice and support keeps closing the ticket for my gaming headset. I need this escalated today.,high,refund_dispute
R0131,Order 17266: It is okay for the price for my phone stand. not a big issue.,low,minor_negative_or_no_complaint
R0132,Order 94907: Delivery is five days late with no useful update for my kitchen scale. I may cancel the order.,medium,delivery_delay
R0133,Order 11606: The battery overheated after one use for my laptop adapter. I want the listing investigated.,high,counterfeit_or_safety
R0134,"Maybe this is a courier issue, but order 71730: The packaging could be better for my notebook. overall acceptable.",low,minor_negative_or_no_complaint
R0135,Order 74358: I was charged twice and support keeps closing the ticket for my running shoes. I may file a chargeback.,high,refund_dispute
R0136,Order 73556: The label is different from the listing and may be counterfeit for my laptop adapter. I want the listing investigated.,high,counterfeit_or_safety
R0137,Order 43625: Customer service keeps sending copy paste replies for my bookshelf. the answer does not address my problem. Please do not send another generic template. The product itself is otherwise fine.,medium,service_failure
R0138,Order 86827: I ordered a black medium but received a white small for my desk lamp. I cannot use it as delivered. I can wait if someone gives me a clear update.,medium,damaged_or_wrong_item
R0139,Order 89691: The courier marked it delivered but nothing arrived for my birthday gift. please tell me where it is.,medium,delivery_delay
R0140,Order 63628: I asked for a refund three times and nobody replied for my running shoes. I need this escalated today.,high,refund_dispute
R0141,Order 95560: Shipping was a little slow but the item arrived fine for my phone stand. happy with the purchase. I am mostly leaving feedback for improvement.,low,minor_negative_or_no_complaint
R0142,Order 87180: I have repeated the same issue to three agents for my bookshelf. please escalate to a human. The product itself is otherwise fine.,medium,service_failure
R0143,I waited before writing this review. order 78573: Delivery is five days late with no useful update for my school bag. I may cancel the order. I can wait if someone gives me a clear update.,medium,delivery_delay
R0144,Order 98751: The box arrived crushed and the item was cracked for my desk lamp. I need a replacement.,medium,damaged_or_wrong_item
R0145,Order 65933: I ordered a black medium but received a white small for my winter jacket. I cannot use it as delivered. The product itself is otherwise fine.,medium,damaged_or_wrong_item
R0146,Order 51958: The color is slightly different but the product works for my yoga mat. happy with the purchase.,low,minor_negative_or_no_complaint
R0147,Order 11706: I was charged twice and suport keeps closing the ticket for my running shoes. this feels fraudulent.,high,refund_dispute
R0148,This is my second order from you. order 76803: I have repeated the same issue to three agents for my smart watch. I am frustrated.,medium,service_failure
R0149,Order 38329: The tracking page has not moved since last week for my printer ink. I may cancel the order.,medium,delivery_delay
R0150,"Not sure who is responsible, but order 77754: The promised two day shipping did not happen for my kitchen scale. please tell me where it is.",medium,delivery_delay
R0151,Order 73970: Shipping was a little slow but the item arrived fine for my phone stand. overall acceptable. This is not urgent.,low,minor_negative_or_no_complaint
R0152,Order 42364: Support promised a callback but never called for my vacuum cleaner. please escalate to a human. I can wait if someone gives me a clear update.,medium,service_failure
R0153,Order 19417: The color is slightly different but the product works for my phone stand. I will keep it. I am mostly leaving feedback for improvement.,low,minor_negative_or_no_complaint
R0154,Order 92408: Support promised a callback but never called for my wireless mouse. the answer does not address my problem.,medium,service_failure
R0155,Order 80219: I was charged twice and support keeps closing the ticket for my coffee machine. I may file a chargeback.,high,refund_dispute
R0156,"I usually like this store, but order 95289: The courier marked it delivered but nothing arrived for my birthday gift. please tell me where it is.",medium,delivery_delay
R0157,Order 83129: The refnd status has been pending for weeks for my phone charger. this feels fraudulent. This may affect whether I buy again.,high,refund_dispute
R0158,"Not sure who is responsible, but order 32902: The box arrived crushed and the item was cracked for my winter jacket. please send the correct item. The product itself is otherwise fine.",medium,damaged_or_wrong_item
R0159,"Order 41395: I ordered a black medium but received a white small for my tablet case. I need a replacment. It is fixable, but I need a concrete answer. The product itself is otherwise fine.",medium,damaged_or_wrong_item
R0160,Order 32487: The refund status has been pending for weeks for my gaming headset. I may file a chargeback.,high,refund_dispute
R0161,"Maybe this is a courier issue, but order 35280: Delivery is five days late with no useful update for my school bag. I needed it this week. Please do not send another generic template.",medium,delivery_delay
R0162,Order 39127: Delivery is five days late with no useful update for my printer ink. I may cancel the order.,medium,delivery_delay
R0163,Order 39022: The box arrived crushed and the item was cracked for my desk lamp. I need a replacement. The product itself is otherwise fine.,medium,damaged_or_wrong_item
R0164,Order 94517: Works as expected for my phone stand. happy with the purchase.,low,minor_negative_or_no_complaint
R0165,"Not sure who is responsible, but order 65230: The screen has scratches although it was sold as new for my tablet case. I need a replacement. I can wait if someone gives me a clear update.",medium,damaged_or_wrong_item
R0166,This is my second order from you. order 32557: I have repeated the same issue to three agents for my bookshelf. please escalate to a human.,medium,service_failure
R0167,I waited before writing this review. order 41252: Delivery is five days late with no useful update for my birthday gift. I may cancel the order. I can wait if someone gives me a clear update.,medium,delivery_delay
R0168,Order 28491: It is okay for the price for my water bottle. not a big issue.,low,minor_negative_or_no_complaint
R0169,I waited before writing this review. order 43435: I ordered a black medium but received a white small for my air fryer. I cannot use it as delivered.,medium,damaged_or_wrong_item
R0170,Order 87523: The seller refused my refund after the item failed for my running shoes. I need this escalated today.,high,refund_dispute
R0171,Order 66048: The product looks fake and the serial number is invalid for my power bank. other buyers should be warned. Please have a real person check this.,high,counterfeit_or_safety
R0172,Order 93064: The screen has scratches although it was sold as new for my air fryer. I need a replacement.,medium,damaged_or_wrong_item
R0173,Order 88674: The box arrived crushed and the item was cracked for my winter jacket. I cannot use it as delivered. The product itself is otherwise fine.,medium,damaged_or_wrong_item
R0174,"I waited before writing this review. order 72370: The package was missing parts for my air fryer. I need a replacement. It is fixable, but I need a concrete answer.",medium,damaged_or_wrong_item
R0175,This is my second order from you. order 75365: It is okay for the price for my notebook. I will keep it. This is not urgent.,low,minor_negative_or_no_complaint
R0176,"I usually like this store, but order 69596: The chat agent ended the conversation before solving it for my bookshelf. I am frustrated.",medium,service_failure
R0177,Order 19748: Customer service keeps sending copy paste replies for my wireless mouse. please escalate to a human.,medium,service_failure
R0178,Order 63173: The packaging could be better for my yoga mat. I will keep it.,low,minor_negative_or_no_complaint
R0179,Order 87157: The refund status has been pending for weeks for my gaming headset. this feels fraudulent. Please have a real person check this.,high,refund_dispute
R0180,Order 52949: The battery overheated after one use for my laptop adapter. I want the listing investigated. I do not want an automated reply.,high,counterfeit_or_safety
R0181,Order 30351: The seller refused my refund after the item failed for my coffee machine. this feels fraudulent. The product itself is otherwise fine.,high,refund_dispute
R0182,"Maybe this is a courier issue, but order 39327: Support promised a callback but never called for my smart watch. please escalate to a human. I can wait if someone gives me a clear update.",medium,service_failure
R0183,Order 65036: The promised two day shipping did not happen for my birthday gift. I needed it this week. I can wait if someone gives me a clear update. The product itself is otherwise fine.,medium,delivery_delay
R0184,Order 34126: Delivery is five days late with no useful update for my kitchen scale. I may cancel the order. I can wait if someone gives me a clear update.,medium,delivery_delay
R0185,Order 67925: The adapter sparked when I plugged it in for my power bank. other buyers should be warned. Please have a real person check this.,high,counterfeit_or_safety
R0186,"Not sure who is responsible, but order 40940: The chat agent ended the conversation before solving it for my smart watch. please escalate to a human.",medium,service_failure
R0187,Order 75632: Support promised a callback but never called for my smart watch. the answer does not address my problem.,medium,service_failure
R0188,Order 37683: Support promised a callback but never called for my wireless mouse. I am frustrated. I can wait if someone gives me a clear update. The product itself is otherwise fine.,medium,service_failure
R0189,"Order 27726: I ordered a black medium but received a white small for my desk lamp. I cannot use it as delivered. It is fixable, but I need a concrete answer.",medium,damaged_or_wrong_item
R0190,I waited before writing this review. order 88721: The battery overheated after one use for my skin cream. other buyers should be warned. This may affect whether I buy again.,high,counterfeit_or_safety
R0191,Order 27786: I was charged twice and support keeps closing the ticket for my running shoes. this feels fraudulent. This may affect whether I buy again.,high,refund_dispute
R0192,Order 87012: The courier marked it delivered but nothing arrived for my kitchen scale. please tell me where it is.,medium,delivery_delay
R0193,Order 49133: The courier marked it delivered but nothing arrived for my printer ink. please tell me where it is.,medium,delivery_delay
R0194,"I waited before writing this review. order 42122: The screen has scratches although it was sold as new for my air fryer. I cannot use it as delivered. It is fixable, but I need a concrete answer.",medium,damaged_or_wrong_item
R0195,Order 35263: The chat agent ended the conversation before solving it for my bookshelf. the answer does not address my problem.,medium,service_failure
R0196,"I usually like this store, but order 43695: Shipping was a little slow but the item arrived fine for my phone stand. not a big issue. I am mostly leaving feedback for improvement.",low,minor_negative_or_no_complaint
R0197,Order 52584: Works as expected for my notebook. I will keep it.,low,minor_negative_or_no_complaint
R0198,"Not sure who is responsible, but order 93111: The adapter sparked when I plugged it in for my laptop adapter. other buyers should be warned. This may affect whether I buy again.",high,counterfeit_or_safety
R0199,Order 59408: I asked for a refund three times and nobody replied for my phone charger. I may file a chargeback. This may affect whether I buy again.,high,refund_dispute
R0200,"Maybe this is a courier issue, but order 59984: Works as expected for my notebook. happy with the purchase.",low,minor_negative_or_no_complaint
R0201,Order 39592: The color is slightly different but the product works for my yoga mat. not a big issue. This is not urgent.,low,minor_negative_or_no_complaint
R0202,Order 32120: I ordered a black medium but received a white small for my air fryer. please send the correct item.,medium,damaged_or_wrong_item
R0203,Order 30522: The product looks fake and the serial number is invalid for my baby monitor. other buyers should be warned.,high,counterfeit_or_safety
R0204,"Maybe this is a courier issue, but order 89879: The box arrived crushed and the item was cracked for my desk lamp. I need a replacement. It is fixable, but I need a concrete answer.",medium,damaged_or_wrong_item
R0205,Order 37848: The courier marked it delivered but nothing arrived for my printer ink. I needed it this week. I can wait if someone gives me a clear update.,medium,delivery_delay
R0206,Order 93808: The battery overheated after one use for my laptop adapter. other buyers should be warned. This may affect whether I buy again. The product itself is otherwise fine.,high,counterfeit_or_safety
R0207,"Maybe this is a courier issue, but order 76307: It is okay for the price for my water bottle. I will keep it. This is not urgent.",low,minor_negative_or_no_complaint
R0208,Order 37467: The seller refused my refund after the item failed for my running shoes. this feels fraudulent.,high,refund_dispute
R0209,"Maybe this is a courier issue, but order 73806: It is okay for the price for my yoga mat. happy with the purchase. This is not urgent.",low,minor_negative_or_no_complaint
R0210,Order 41784: The screen has scratches although it was sold as new for my desk lamp. I need a replacement.,medium,damaged_or_wrong_item
R0211,Order 15038: Customer service keeps sending copy paste replies for my smart watch. I am frustrated.,medium,service_failure
R0212,"Maybe this is a courier issue, but order 70018: The courier marked it delivered but nothing arrived for my kitchen scale. please tell me where it is. I can wait if someone gives me a clear update.",medium,delivery_delay
R0213,"Order 35666: I ordered a black medium but received a white small for my tablet case. please send the correct item. It is fixable, but I need a concrete answer.",medium,damaged_or_wrong_item
R0214,"Maybe this is a courier issue, but order 71141: I have repeated the same issue to three agents for my vacuum cleaner. I am frustrated. I can wait if someone gives me a clear update.",medium,service_failure
R0215,Order 15413: The product looks fake and the serial number is invalid for my baby monitor. other buyers should be warned. I do not want an automated reply.,high,counterfeit_or_safety
R0216,This is my second order from you. order 31873: Shipping was a little slow but the item arrived fine for my water bottle. I will keep it. I am mostly leaving feedback for improvement. I am not asking for a refund.,low,minor_negative_or_no_complaint
R0217,Order 31187: The courier marked it delivered but nothing arrived for my school bag. please tell me where it is.,medium,delivery_delay
R0218,I waited before writing this review. order 91525: The package was missing parts for my tablet case. I need a replacement.,medium,damaged_or_wrong_item
R0219,Order 74636: The package was missing parts for my tablet case. I need a replacement.,medium,damaged_or_wrong_item
R0220,"I usually like this store, but order 54138: The screen has scratches although it was sold as new for my winter jacket. I cannot use it as delivered. It is fixable, but I need a concrete answer.",medium,damaged_or_wrong_item
R0221,Order 44885: I asked for a refund three times and nobody replied for my coffee machine. this feels fraudulent. This may affect whether I buy again.,high,refund_dispute
R0222,Order 36218: The packaging could be better for my yoga mat. happy with the purchase.,low,minor_negative_or_no_complaint
R0223,"I usually like this store, but order 74532: Works as expected for my phone stand. I will keep it.",low,minor_negative_or_no_complaint
R0224,"Order 16730: The screen has scratches although it was sold as new for my desk lamp. I cannot use it as delivered. It is fixable, but I need a concrete answer.",medium,damaged_or_wrong_item
R0225,Order 45201: Shipping was a little slow but the item arrived fine for my notebook. happy with the purchase.,low,minor_negative_or_no_complaint
R0226,"Maybe this is a courier issue, but order 26970: The seller refused my refund after the item failed for my gaming headset. I may file a chargeback.",high,refund_dispute
